semestre,Catalunya,sexe,edat,concepte,estat,valor
S2/1984,Catalunya,total,total,població,,5979379
S1/1985,Catalunya,homes,de 0 a 15 anys,població,,743330
S1/1985,Catalunya,homes,de 16 a 64 anys,població,,1902475
S1/1985,Catalunya,homes,65 anys o més,població,,284136
S1/1985,Catalunya,homes,total,població,,2929941
S1/1985,Catalunya,dones,de 0 a 15 anys,població,,700628
S1/1985,Catalunya,dones,de 16 a 64 anys,població,,1922578
S1/1985,Catalunya,dones,65 anys o més,població,,427175
S1/1985,Catalunya,dones,total,població,,3050381
S1/1985,Catalunya,total,de 0 a 15 anys,població,,1443958
S1/1985,Catalunya,total,de 16 a 64 anys,població,,3825053
S1/1985,Catalunya,total,65 anys o més,població,,711311
S1/1985,Catalunya,total,total,població,,5980322
S2/1985,Catalunya,homes,de 0 a 15 anys,població,,732468
S2/1985,Catalunya,homes,de 16 a 64 anys,població,,1907873
S2/1985,Catalunya,homes,65 anys o més,població,,288337
S2/1985,Catalunya,homes,total,població,,2928678
S2/1985,Catalunya,dones,de 0 a 15 anys,població,,691129
S2/1985,Catalunya,dones,de 16 a 64 anys,població,,1926028
S2/1985,Catalunya,dones,65 anys o més,població,,433308
S2/1985,Catalunya,dones,total,població,,3050465
S2/1985,Catalunya,total,de 0 a 15 anys,població,,1423597
S2/1985,Catalunya,total,de 16 a 64 anys,població,,3833901
S2/1985,Catalunya,total,65 anys o més,població,,721645
S2/1985,Catalunya,total,total,població,,5979143
S1/1986,Catalunya,homes,de 0 a 15 anys,població,,721627
S1/1986,Catalunya,homes,de 16 a 64 anys,població,,1913279
S1/1986,Catalunya,homes,65 anys o més,població,,292548
S1/1986,Catalunya,homes,total,població,,2927454
S1/1986,Catalunya,dones,de 0 a 15 anys,població,,681625
S1/1986,Catalunya,dones,de 16 a 64 anys,població,,1929515
S1/1986,Catalunya,dones,65 anys o més,població,,439438
S1/1986,Catalunya,dones,total,població,,3050578
S1/1986,Catalunya,total,de 0 a 15 anys,població,,1403252
S1/1986,Catalunya,total,de 16 a 64 anys,població,,3842794
S1/1986,Catalunya,total,65 anys o més,població,,731986
S1/1986,Catalunya,total,total,població,,5978032
S2/1986,Catalunya,homes,de 0 a 15 anys,població,,712711
S2/1986,Catalunya,homes,de 16 a 64 anys,població,,1921194
S2/1986,Catalunya,homes,65 anys o més,població,,298435
S2/1986,Catalunya,homes,total,població,,2932340
S2/1986,Catalunya,dones,de 0 a 15 anys,població,,672656
S2/1986,Catalunya,dones,de 16 a 64 anys,població,,1937766
S2/1986,Catalunya,dones,65 anys o més,població,,445979
S2/1986,Catalunya,dones,total,població,,3056401
S2/1986,Catalunya,total,de 0 a 15 anys,població,,1385367
S2/1986,Catalunya,total,de 16 a 64 anys,població,,3858960
S2/1986,Catalunya,total,65 anys o més,població,,744414
S2/1986,Catalunya,total,total,població,,5988741
S1/1987,Catalunya,homes,de 0 a 15 anys,població,,703771
S1/1987,Catalunya,homes,de 16 a 64 anys,població,,1929080
S1/1987,Catalunya,homes,65 anys o més,població,,304344
S1/1987,Catalunya,homes,total,població,,2937195
S1/1987,Catalunya,dones,de 0 a 15 anys,població,,663699
S1/1987,Catalunya,dones,de 16 a 64 anys,població,,1946001
S1/1987,Catalunya,dones,65 anys o més,població,,452425
S1/1987,Catalunya,dones,total,població,,3062125
S1/1987,Catalunya,total,de 0 a 15 anys,població,,1367470
S1/1987,Catalunya,total,de 16 a 64 anys,població,,3875081
S1/1987,Catalunya,total,65 anys o més,població,,756769
S1/1987,Catalunya,total,total,població,,5999320
S2/1987,Catalunya,homes,de 0 a 15 anys,població,,694045
S2/1987,Catalunya,homes,de 16 a 64 anys,població,,1937661
S2/1987,Catalunya,homes,65 anys o més,població,,310523
S2/1987,Catalunya,homes,total,població,,2942229
S2/1987,Catalunya,dones,de 0 a 15 anys,població,,654140
S2/1987,Catalunya,dones,de 16 a 64 anys,població,,1953785
S2/1987,Catalunya,dones,65 anys o més,població,,460153
S2/1987,Catalunya,dones,total,població,,3068078
S2/1987,Catalunya,total,de 0 a 15 anys,població,,1348185
S2/1987,Catalunya,total,de 16 a 64 anys,població,,3891446
S2/1987,Catalunya,total,65 anys o més,població,,770676
S2/1987,Catalunya,total,total,població,,6010307
S1/1988,Catalunya,homes,de 0 a 15 anys,població,,684330
S1/1988,Catalunya,homes,de 16 a 64 anys,població,,1946261
S1/1988,Catalunya,homes,65 anys o més,població,,316692
S1/1988,Catalunya,homes,total,població,,2947283
S1/1988,Catalunya,dones,de 0 a 15 anys,població,,644575
S1/1988,Catalunya,dones,de 16 a 64 anys,població,,1961523
S1/1988,Catalunya,dones,65 anys o més,població,,467844
S1/1988,Catalunya,dones,total,població,,3073942
S1/1988,Catalunya,total,de 0 a 15 anys,població,,1328905
S1/1988,Catalunya,total,de 16 a 64 anys,població,,3907784
S1/1988,Catalunya,total,65 anys o més,població,,784536
S1/1988,Catalunya,total,total,població,,6021225
S2/1988,Catalunya,homes,de 0 a 15 anys,població,,673899
S2/1988,Catalunya,homes,de 16 a 64 anys,població,,1955400
S2/1988,Catalunya,homes,65 anys o més,població,,322612
S2/1988,Catalunya,homes,total,població,,2951911
S2/1988,Catalunya,dones,de 0 a 15 anys,població,,633856
S2/1988,Catalunya,dones,de 16 a 64 anys,població,,1970589
S2/1988,Catalunya,dones,65 anys o més,població,,474946
S2/1988,Catalunya,dones,total,població,,3079391
S2/1988,Catalunya,total,de 0 a 15 anys,població,,1307755
S2/1988,Catalunya,total,de 16 a 64 anys,població,,3925989
S2/1988,Catalunya,total,65 anys o més,població,,797558
S2/1988,Catalunya,total,total,població,,6031302
S1/1989,Catalunya,homes,de 0 a 15 anys,població,,663508
S1/1989,Catalunya,homes,de 16 a 64 anys,població,,1964526
S1/1989,Catalunya,homes,65 anys o més,població,,328589
S1/1989,Catalunya,homes,total,població,,2956623
S1/1989,Catalunya,dones,de 0 a 15 anys,població,,623137
S1/1989,Catalunya,dones,de 16 a 64 anys,població,,1979632
S1/1989,Catalunya,dones,65 anys o més,població,,482077
S1/1989,Catalunya,dones,total,població,,3084846
S1/1989,Catalunya,total,de 0 a 15 anys,població,,1286645
S1/1989,Catalunya,total,de 16 a 64 anys,població,,3944158
S1/1989,Catalunya,total,65 anys o més,població,,810666
S1/1989,Catalunya,total,total,població,,6041469
S2/1989,Catalunya,homes,de 0 a 15 anys,població,,652796
S2/1989,Catalunya,homes,de 16 a 64 anys,població,,1974061
S2/1989,Catalunya,homes,65 anys o més,població,,334550
S2/1989,Catalunya,homes,total,població,,2961407
S2/1989,Catalunya,dones,de 0 a 15 anys,població,,612245
S2/1989,Catalunya,dones,de 16 a 64 anys,població,,1988539
S2/1989,Catalunya,dones,65 anys o més,població,,489631
S2/1989,Catalunya,dones,total,població,,3090415
S2/1989,Catalunya,total,de 0 a 15 anys,població,,1265041
S2/1989,Catalunya,total,de 16 a 64 anys,població,,3962600
S2/1989,Catalunya,total,65 anys o més,població,,824181
S2/1989,Catalunya,total,total,població,,6051822
S1/1990,Catalunya,homes,de 0 a 15 anys,població,,642049
S1/1990,Catalunya,homes,de 16 a 64 anys,població,,1983675
S1/1990,Catalunya,homes,65 anys o més,població,,340542
S1/1990,Catalunya,homes,total,població,,2966266
S1/1990,Catalunya,dones,de 0 a 15 anys,població,,601328
S1/1990,Catalunya,dones,de 16 a 64 anys,població,,1997485
S1/1990,Catalunya,dones,65 anys o més,població,,497194
S1/1990,Catalunya,dones,total,població,,3096007
S1/1990,Catalunya,total,de 0 a 15 anys,població,,1243377
S1/1990,Catalunya,total,de 16 a 64 anys,població,,3981160
S1/1990,Catalunya,total,65 anys o més,població,,837736
S1/1990,Catalunya,total,total,població,,6062273
S2/1990,Catalunya,homes,de 0 a 15 anys,població,,630491
S2/1990,Catalunya,homes,de 16 a 64 anys,població,,1993698
S2/1990,Catalunya,homes,65 anys o més,població,,346377
S2/1990,Catalunya,homes,total,població,,2970566
S2/1990,Catalunya,dones,de 0 a 15 anys,població,,589578
S2/1990,Catalunya,dones,de 16 a 64 anys,població,,2006642
S2/1990,Catalunya,dones,65 anys o més,població,,504743
S2/1990,Catalunya,dones,total,població,,3100963
S2/1990,Catalunya,total,de 0 a 15 anys,població,,1220069
S2/1990,Catalunya,total,de 16 a 64 anys,població,,4000340
S2/1990,Catalunya,total,65 anys o més,població,,851120
S2/1990,Catalunya,total,total,població,,6071529
S1/1991,Catalunya,homes,de 0 a 15 anys,població,,618945
S1/1991,Catalunya,homes,de 16 a 64 anys,població,,2003715
S1/1991,Catalunya,homes,65 anys o més,població,,352173
S1/1991,Catalunya,homes,total,població,,2974833
S1/1991,Catalunya,dones,de 0 a 15 anys,població,,577828
S1/1991,Catalunya,dones,de 16 a 64 anys,població,,2015764
S1/1991,Catalunya,dones,65 anys o més,població,,512326
S1/1991,Catalunya,dones,total,població,,3105918
S1/1991,Catalunya,total,de 0 a 15 anys,població,,1196773
S1/1991,Catalunya,total,de 16 a 64 anys,població,,4019479
S1/1991,Catalunya,total,65 anys o més,població,,864499
S1/1991,Catalunya,total,total,població,,6080751
S2/1991,Catalunya,homes,de 0 a 15 anys,població,,605850
S2/1991,Catalunya,homes,de 16 a 64 anys,població,,2012564
S2/1991,Catalunya,homes,65 anys o més,població,,357940
S2/1991,Catalunya,homes,total,població,,2976354
S2/1991,Catalunya,dones,de 0 a 15 anys,població,,566729
S2/1991,Catalunya,dones,de 16 a 64 anys,població,,2022284
S2/1991,Catalunya,dones,65 anys o més,població,,518710
S2/1991,Catalunya,dones,total,població,,3107723
S2/1991,Catalunya,total,de 0 a 15 anys,població,,1172579
S2/1991,Catalunya,total,de 16 a 64 anys,població,,4034848
S2/1991,Catalunya,total,65 anys o més,població,,876650
S2/1991,Catalunya,total,total,població,,6084077
S1/1992,Catalunya,homes,de 0 a 15 anys,població,,592758
S1/1992,Catalunya,homes,de 16 a 64 anys,població,,2021447
S1/1992,Catalunya,homes,65 anys o més,població,,363681
S1/1992,Catalunya,homes,total,població,,2977886
S1/1992,Catalunya,dones,de 0 a 15 anys,població,,555620
S1/1992,Catalunya,dones,de 16 a 64 anys,població,,2028768
S1/1992,Catalunya,dones,65 anys o més,població,,525065
S1/1992,Catalunya,dones,total,població,,3109453
S1/1992,Catalunya,total,de 0 a 15 anys,població,,1148378
S1/1992,Catalunya,total,de 16 a 64 anys,població,,4050215
S1/1992,Catalunya,total,65 anys o més,població,,888746
S1/1992,Catalunya,total,total,població,,6087339
S2/1992,Catalunya,homes,de 0 a 15 anys,població,,580998
S2/1992,Catalunya,homes,de 16 a 64 anys,població,,2030129
S2/1992,Catalunya,homes,65 anys o més,població,,369031
S2/1992,Catalunya,homes,total,població,,2980158
S2/1992,Catalunya,dones,de 0 a 15 anys,població,,545868
S2/1992,Catalunya,dones,de 16 a 64 anys,població,,2035072
S2/1992,Catalunya,dones,65 anys o més,població,,530949
S2/1992,Catalunya,dones,total,població,,3111889
S2/1992,Catalunya,total,de 0 a 15 anys,població,,1126866
S2/1992,Catalunya,total,de 16 a 64 anys,població,,4065201
S2/1992,Catalunya,total,65 anys o més,població,,899980
S2/1992,Catalunya,total,total,població,,6092047
S1/1993,Catalunya,homes,de 0 a 15 anys,població,,569282
S1/1993,Catalunya,homes,de 16 a 64 anys,població,,2038866
S1/1993,Catalunya,homes,65 anys o més,població,,374383
S1/1993,Catalunya,homes,total,població,,2982531
S1/1993,Catalunya,dones,de 0 a 15 anys,població,,536149
S1/1993,Catalunya,dones,de 16 a 64 anys,població,,2041381
S1/1993,Catalunya,dones,65 anys o més,població,,536838
S1/1993,Catalunya,dones,total,població,,3114368
S1/1993,Catalunya,total,de 0 a 15 anys,població,,1105431
S1/1993,Catalunya,total,de 16 a 64 anys,població,,4080247
S1/1993,Catalunya,total,65 anys o més,població,,911221
S1/1993,Catalunya,total,total,població,,6096899
S2/1993,Catalunya,homes,de 0 a 15 anys,població,,557966
S2/1993,Catalunya,homes,de 16 a 64 anys,població,,2045027
S2/1993,Catalunya,homes,65 anys o més,població,,379984
S2/1993,Catalunya,homes,total,població,,2982977
S2/1993,Catalunya,dones,de 0 a 15 anys,població,,526290
S2/1993,Catalunya,dones,de 16 a 64 anys,població,,2046369
S2/1993,Catalunya,dones,65 anys o més,població,,543022
S2/1993,Catalunya,dones,total,població,,3115681
S2/1993,Catalunya,total,de 0 a 15 anys,població,,1084256
S2/1993,Catalunya,total,de 16 a 64 anys,població,,4091396
S2/1993,Catalunya,total,65 anys o més,població,,923006
S2/1993,Catalunya,total,total,població,,6098658
S1/1994,Catalunya,homes,de 0 a 15 anys,població,,546674
S1/1994,Catalunya,homes,de 16 a 64 anys,població,,2051175
S1/1994,Catalunya,homes,65 anys o més,població,,385562
S1/1994,Catalunya,homes,total,població,,2983411
S1/1994,Catalunya,dones,de 0 a 15 anys,població,,516430
S1/1994,Catalunya,dones,de 16 a 64 anys,població,,2051382
S1/1994,Catalunya,dones,65 anys o més,població,,549213
S1/1994,Catalunya,dones,total,població,,3117025
S1/1994,Catalunya,total,de 0 a 15 anys,població,,1063104
S1/1994,Catalunya,total,de 16 a 64 anys,població,,4102557
S1/1994,Catalunya,total,65 anys o més,població,,934775
S1/1994,Catalunya,total,total,població,,6100436
S2/1994,Catalunya,homes,de 0 a 15 anys,població,,535360
S2/1994,Catalunya,homes,de 16 a 64 anys,població,,2056321
S2/1994,Catalunya,homes,65 anys o més,població,,391167
S2/1994,Catalunya,homes,total,població,,2982848
S2/1994,Catalunya,dones,de 0 a 15 anys,població,,506935
S2/1994,Catalunya,dones,de 16 a 64 anys,població,,2055639
S2/1994,Catalunya,dones,65 anys o més,població,,555285
S2/1994,Catalunya,dones,total,població,,3117859
S2/1994,Catalunya,total,de 0 a 15 anys,població,,1042295
S2/1994,Catalunya,total,de 16 a 64 anys,població,,4111960
S2/1994,Catalunya,total,65 anys o més,població,,946452
S2/1994,Catalunya,total,total,població,,6100707
S1/1995,Catalunya,homes,de 0 a 15 anys,població,,524049
S1/1995,Catalunya,homes,de 16 a 64 anys,població,,2061477
S1/1995,Catalunya,homes,65 anys o més,població,,396781
S1/1995,Catalunya,homes,total,població,,2982307
